objName,objAltName1,objAltName2,objAltName3,NED_name,NED_redshift,raMean,decMean,TransientName,TransientRA,TransientDEC
PSO J175854.409+444927.020,,,,WISEA J175854.40+444927.2,,269.72670897,44.82416361,SNF20080323-003,269.72729166666664,44.82502777777778
PSO J085859.540+444950.221,,,,WISEA J085859.46+444949.6,0.047934,134.74806018,44.83062846,SN2016ied,134.74907499999998,44.83121666666667
PSO J220537.342+445016.398,,,,WISEA J220537.37+445016.2,,331.4055805000001,44.83788437,SN2018cnj,331.40557499999994,44.83770555555557
PSO J084859.436+445128.813,,,,SDSS J084859.43+445128.8,,132.24762325,44.85798379,PSc110430,132.24955833333334,44.86568055555557
PSO J075640.366+445211.400,,,,CGCG 236-015 NED01,0.050236,119.16820469,44.8698433,SN1994C,119.16779166666666,44.87203055555555
PSO J223546.899+445250.080,,,,WISEA J223546.89+445250.1,,338.9454266,44.88060581,SN2020E,338.942625,44.88235
PSO J145836.002+445301.161,,,,UGC 09639,0.036032,224.64997673,44.88364224,SN2003cr,224.64804166666664,44.88511111111111
PSO J113151.238+445348.878,,,,WISEA J113151.24+445348.8,,172.96350614,44.89690543,SN2019xbw,172.96092916666663,44.89553888888889
PSO J065939.080+445359.105,,,,WISEA J065939.06+445359.0,,104.91282695,44.89975445,SN2017ibu,104.9128625,44.90022777777778
PSO J155836.632+445407.493,,,,WISEA J155836.68+445407.4,,239.65264789,44.90204891,SN2019qvf,239.6518625,44.90208055555557
PSO J083523.282+445449.348,,,,WISEA J083523.29+445449.0,,128.84700195,44.91371531,PSc350548,128.847775,44.91363888888889
PSO J144959.770+445501.854,,,,WISEA J144959.72+445501.1,0.080071,222.49901853,44.91719388,SN2009fb,222.5005,44.91828055555556
PSO J083749.066+445557.165,,,,WISEA J083749.07+445556.3,,129.45443694,44.93251777,PSc330061,129.45456666666666,44.93272777777778
PSO J172424.121+445625.990,,,,UGC 10845,0.027506,261.10051968,44.94055679,SN2007ad,261.10242083333327,44.93775
PSO J081907.881+445648.371,,,,WISEA J081907.85+445648.3,,124.78283232,44.94675952,SN2018pm,124.78287499999998,44.945555555555536
PSO J084247.131+445646.836,,,,SDSS J084247.13+445646.6,,130.69637822,44.94634276,PSc490403,130.69622916666663,44.94649999999999
PSO J105341.168+445632.679,,,,WISEA J105341.17+445632.5,0.146038,163.42155442,44.94241622,iPTF15adu,163.42291666666662,44.94188888888888
PSO J131726.432+445650.696,,,,2MASX J13172645+4456511,,199.36012545,44.94741168,SN2018fhd,199.3601125,44.94736666666666
PSO J024620.348+445707.463,,,,UGC 02233,0.01869,41.58480195,44.95210316,SN2019hzu,41.5844,44.9551
PSO J115139.387+445717.005,,,,WISEA J115139.37+445716.7,,177.91412853,44.95470468,iPTF15aky,177.91474999999997,44.95472222222222
PSO J162646.453+445710.514,,,,WISEA J162646.45+445710.6,,246.69356002,44.95293139,SN2019dkv,246.69422916666664,44.95417777777778
PSO J083815.608+445733.438,,,,WISEA J083815.61+445733.6,0.567524,129.56507332,44.95930925,PSc340163,129.56485416666663,44.959177777777775
PSO J114219.137+445745.419,,,,WISEA J114219.16+445745.4,,175.57972963,44.96265188,SN2020bjg,175.57917916666665,44.9620361111111
PSO J084546.323+445812.693,,,,SDSS J084546.33+445812.5,,131.44294995,44.97016922,PS1-10hz,131.44300416666667,44.97021944444445
PSO J220921.270+445825.267,,,,WISEA J220921.20+445824.8,,332.33863046,44.9736619,SN2019kyy,332.3417083333333,44.975
PSO J113657.819+450050.235,,,,WISEA J113657.76+450049.6,0.13,174.24083899,45.01395512,SN2009di,174.24107916666665,45.01408055555557
PSO J182614.390+450035.949,,,,WISEA J182614.39+450035.6,,276.55996064,45.00997273,SN2018ctm,276.5590708333333,45.01019166666666
PSO J084552.447+450139.469,,,,WISEA J084552.41+450139.4,,131.46852531,45.0276221,PSc460054,131.46637499999997,45.026872222222224
PSO J131902.113+450135.111,,,,WISEA J131902.11+450135.1,0.060395,199.75880774,45.02642021,SN2019eoe,199.75865833333333,45.02635
PSO J221026.841+450251.735,,,,WISEA J221026.85+450251.8,,332.61184225,45.04770560000001,SN1992ax,332.6131291666666,45.04221944444443
PSO J084302.304+450323.186,,,,WISEA J084302.31+450322.8,0.494853,130.75959821,45.05643936,PSc490402,130.76052083333332,45.055927777777775
PSO J164548.768+450515.611,,,,WISEA J164548.77+450515.7,0.059722,251.45319834,45.08766622,SN2019pff,251.4576875,45.08633611111112
PSO J144058.738+450750.707,,,,WISEA J144058.72+450750.9,0.073527,220.24473344,45.1307746,SDSS1289-52734-413,220.2447125,45.1308
PSO J005139.346+450903.069,,,,WISEA J005139.33+450903.0,,12.91394684,45.15084288,SN2019waa,12.91258333333333,45.15121944444444
PSO J143546.632+451119.409,,,,WISEA J143546.63+451119.5,0.0693049999999999,218.9442875,45.18872387,PTF12ecr,218.9438333333333,45.18880555555555
PSO J132500.514+451134.391,,,,SDSS J132500.52+451134.2,,201.2521442,45.19289006,PTF12cgc,201.2549583333333,45.19388888888889
PSO J083811.023+451205.613,,,,WISEA J083811.00+451204.8,,129.54593751,45.20155226,PSc470232,129.5458708333333,45.202275
PSO J073037.116+451244.001,,,,WISEA J073037.11+451243.8,0.068839,112.65463367,45.21219583,SN2019tbo,112.6501375,45.212022222222224
PSO J095658.176+451344.897,,,,WISEA J095658.11+451343.0,,149.24239953,45.22913318,SN2019drk,149.242075,45.22900555555556
PSO J110158.989+451340.915,,,,UGC 06103,0.01998,165.49580491,45.2280398,SN2018hfc,165.49408333333332,45.2275388888889
PSO J165531.687+451355.144,,,,WISEA J165531.68+451355.1,,253.88205388,45.23199132,PTF10got,253.88191666666663,45.232361111111096
PSO J073136.962+451503.769,,,,WISEA J073136.96+451503.5,0.082797,112.90399257,45.25105499,SN2019dfi,112.90048333333333,45.25083055555553
PSO J084207.911+451527.926,,,,WISEA J084207.90+451528.0,,130.53294685,45.25775293,PSc130621,130.53280416666664,45.25790277777778
PSO J103803.836+451525.833,,,,WISEA J103803.80+451525.8,,159.51600155,45.25717949,SN2018bba,159.51662499999995,45.2566388888889
PSO J180534.092+451522.701,,,,WISEA J180534.16+451521.9,,271.39207374,45.25629206,SN2019ugu,271.39137083333327,45.25455
PSO J193330.120+451501.185,,,,WISEA J193330.11+451501.1,,293.3754871000001,45.25033061,KSN2012a,293.37544583333334,45.25035833333333
PSO J145620.598+451627.233,,,,2MASX J14562053+4516275,0.030568,224.08582979,45.27423599,PS15xr,224.08475,45.27541666666666
PSO J103631.855+451645.885,,,,WISEA J103631.86+451645.9,0.053611,159.13275181,45.27941559,SN2019fjt,159.13612499999996,45.27963888888889
PSO J084008.413+451710.545,,,,WISEA J084008.44+451710.4,,130.03506151,45.28624956,PSc500099,130.03592499999996,45.2862
PSO J084716.677+451752.190,,,,WISEA J084716.71+451751.2,0.426102,131.8194648,45.29783974,PS1-10caz,131.82025833333333,45.29762222222222
PSO J165852.811+451731.741,,,,WISEA J165852.78+451732.2,,254.72007511,45.29211220000001,SN2018dxt,254.7233791666666,45.28892222222223
PSO J100809.877+452021.635,,,,WISEA J100809.82+452021.4,,152.04118922,45.33935825,iPTF15wh,152.04154166666663,45.33958333333334
PSO J084416.510+452038.922,,,,WISEA J084416.51+452038.8,0.4012449999999999,131.06880468,45.34415652,PSc110734,131.06892499999998,45.344202777777774
PSO J084633.557+452118.804,,,,WISEA J084633.50+452118.1,,131.63982406,45.35522717,PSc500100,131.63852500000002,45.35615277777778
PSO J145627.317+452112.858,,,,WISEA J145627.31+452112.7,0.03671,224.11383118,45.35356507,SN2003ad,224.1169583333333,45.35256111111112
PSO J084322.228+452146.095,,,,WISEA J084322.24+452146.2,0.4277729999999999,130.84264512,45.36280884,PSc470233,130.84223333333333,45.36290833333334
PSO J123935.485+452240.513,,,,WISEA J123935.47+452240.4,0.046978,189.89782939,45.37791638,SN2019gci,189.8981875,45.37718611111112
PSO J071716.131+452301.955,,,,WISEA J071716.03+452301.2,0.042,109.31722982,45.38386546,SN2010jz,109.31557916666664,45.3843611111111
PSO J145604.376+452418.963,,,,UGC 09612,0.036212,224.01824291,45.40526411,SN2007O,224.02157916666664,45.40468888888888
PSO J170321.299+452447.752,,,,SDSS J170321.30+452447.5,,255.83874969,45.4132048,SN2017gav,255.83787916666665,45.41351111111111
PSO J084223.278+452508.715,,,,SDSS J084223.27+452508.6,,130.59698782,45.41907910000001,PSc090072,130.59826666666663,45.42065833333333
PSO J125523.908+452506.499,,,,2MASX J12552389+4525061,0.054338,193.84961189,45.41847996,SN2019ari,193.84795,45.418147222222224
PSO J071509.918+452556.008,,,,WISEA J071509.93+452555.9,0.052,108.79135916,45.43223404,SN1992M,108.790125,45.43047222222222
PSO J083856.152+452652.779,,,,WISEA J083856.13+452652.7,,129.73396304,45.44798734,PSc590177,129.73389583333332,45.44808611111111
PSO J132336.296+452734.805,,,,WISEA J132336.27+452735.0,0.060726,200.90123843,45.45964722,iPTF15bav,200.900125,45.46066666666667
