Unnamed: 0,ra,dec,candidate_id,flux,fluxerr,magzp,filter,meanmjd,rb,rbcut,model,objectdata_id_1,tag,num_rb_obs
239084,149.87277589479,3.18375502996458,DC21fyx,7072.46560991243,122.009935818699,29.2431583357151,g,59358.005151703,0.725336,0.3,rknop_20211105_19.h5,489989,default,185
239086,149.87277589479,3.18375502996458,DC21fyx,4080.46984909574,123.687003143374,29.2825838654106,r,59358.0075333926,0.65716,0.3,rknop_20211105_19.h5,490231,default,185
239939,149.87277589479,3.18375502996458,DC21fyx,2749.84003445025,121.464275283174,29.2864751750854,r,59360.9781288726,0.982615,0.3,rknop_20211105_19.h5,507820,default,185
240078,149.87277589479,3.18375502996458,DC21fyx,5957.45075721213,133.215134596352,29.2728498749688,g,59360.975647883,1.0,0.3,rknop_20211105_19.h5,509139,default,185
240081,149.87277589479,3.18375502996458,DC21fyx,3420.45787294767,120.677672672084,29.3056172643276,r,59360.9792868126,0.0665466,0.3,rknop_20211105_19.h5,509606,default,185
240312,149.87277589479,3.18375502996458,DC21fyx,6512.98003357594,124.286700685429,29.2588711704711,g,59360.976916103,0.99588,0.3,rknop_20211105_19.h5,509002,default,185
252575,149.87277589479,3.18375502996458,DC21fyx,7589.05132605223,92.8272149208602,28.9896786477929,g,59297.1461789422,0.999456,0.3,rknop_20211105_19.h5,95995,default,185
259645,149.87277589479,3.18375502996458,DC21fyx,2397.8693888872,125.1576167192,28.4221550565609,r,59301.0679445511,1.0,0.3,rknop_20211105_19.h5,99076,default,185
270111,149.87277589479,3.18375502996458,DC21fyx,11564.4095931119,111.668563287475,28.9997256938668,g,59595.2931786022,0.999996,0.3,rknop_20211105_19.h5,1151596,default,185
270396,149.87277589479,3.18375502996458,DC21fyx,5448.50875887849,133.709728873431,28.3799921689662,i,59301.0699925911,1.0,0.3,rknop_20211105_19.h5,101433,default,185
271622,149.87277589479,3.18375502996458,DC21fyx,11463.2577352348,108.741166825228,28.984650538716,g,59595.3058407622,1.0,0.3,rknop_20211105_19.h5,1156651,default,185
271693,149.87277589479,3.18375502996458,DC21fyx,14160.8731925819,143.425364515284,29.5576476211928,r,59595.3070209852,0.996132,0.3,rknop_20211105_19.h5,1158964,default,185
271875,149.87277589479,3.18375502996458,DC21fyx,12717.2799170945,195.081122298546,29.0611080480442,g,59597.2911017222,1.0,0.3,rknop_20211105_19.h5,1165984,default,185
271887,149.87277589479,3.18375502996458,DC21fyx,14173.118824603,229.953214414549,29.6306197373496,r,59597.2922853952,1.0,0.3,rknop_20211105_19.h5,1166780,default,185
271908,149.87277589479,3.18375502996458,DC21fyx,34443.4579637493,286.685114352416,30.0183297574373,i,59597.2938688148,0.999987,0.3,rknop_20211105_19.h5,1167377,default,185
271979,149.87277589479,3.18375502996458,DC21fyx,12337.4768676339,210.19290723259,29.0658859960019,g,59597.3036847022,1.0,0.3,rknop_20211105_19.h5,1169938,default,185
272053,149.87277589479,3.18375502996458,DC21fyx,5358.15556395902,134.113927812194,28.3725843519968,i,59301.1315103111,1.0,0.3,rknop_20211105_19.h5,106915,default,185
272099,149.87277589479,3.18375502996458,DC21fyx,15972.6903277557,266.887626582082,29.6543759130469,r,59597.3173986052,1.0,0.3,rknop_20211105_19.h5,1174909,default,185
272148,149.87277589479,3.18375502996458,DC21fyx,12035.0621590069,102.820654284875,29.0899172933536,g,59602.3096481222,0.982602,0.3,rknop_20211105_19.h5,1176898,default,185
272628,149.87277589479,3.18375502996458,DC21fyx,11666.1450933007,99.1556617958289,29.0778002490121,g,59602.3349320122,1.0,0.3,rknop_20211105_19.h5,1189815,default,185
276488,149.87277589479,3.18375502996458,DC21fyx,6130.70257987825,130.228301617835,28.7820611275629,g,59708.0500342322,1.0,0.3,rknop_20211105_19.h5,1317659,default,185
276566,149.87277589479,3.18375502996458,DC21fyx,24190.8001263699,268.303775057343,29.9650962729986,i,59708.0653934048,1.0,0.3,rknop_20211105_19.h5,1320312,default,185
276711,149.87277589479,3.18375502996458,DC21fyx,25084.6702722636,259.069405416463,29.9519997164591,i,59708.0780176048,0.998097,0.3,rknop_20211105_19.h5,1326126,default,185
276766,149.87277589479,3.18375502996458,DC21fyx,8881.38660949566,185.794126161205,29.5534361298406,r,59708.0764294752,0.360736,0.3,rknop_20211105_19.h5,1328197,default,185
276980,149.87277589479,3.18375502996458,DC21fyx,21878.0546801947,280.723820475966,29.9484160188762,i,59708.1032265848,1.0,0.3,rknop_20211105_19.h5,1336792,default,185
